inspection_id,date,part_number,supplier_id,lot_number,quantity_received,quantity_inspected,quantity_failed,defect_type,defect_category,inspection_stage,inspector,disposition,ncr_id,cost_impact
INS-02588,2023-06-25,FAST-010,SUP-008,LOT-290,162,45,0,,,In-Process Inspection,QE-Torres,Accept,,0.0
INS-02589,2024-01-16,LARM-015,SUP-010,LOT-277,86,51,5,Corrosion,Cosmetic,Receiving Inspection,QE-Patel,Use-As-Is,NCR-1566,542.61
INS-02590,2023-07-17,BCON-006,SUP-004,LOT-106,73,31,0,,,In-Process Inspection,QE-Patel,Accept,,0.0
INS-02591,2024-01-02,MOTOR-004,SUP-007,LOT-160,27,7,1,Missing Hardware,Assembly,Final Assembly,QE-Torres,Reject,,112.87
INS-02592,2023-08-20,FAST-010,SUP-008,LOT-915,96,60,0,,,Final Assembly,QE-Torres,Accept,,0.0
INS-02593,2024-02-19,MOTOR-004,SUP-007,LOT-873,158,103,38,Electrical Short,Electrical,Final Assembly,QE-Patel,MRB Review,NCR-4410,6308.7
INS-02594,2023-06-16,MOTOR-004,SUP-007,LOT-650,85,52,4,Contamination,Cosmetic,In-Process Inspection,QE-Torres,Reject,,195.5
INS-02595,2024-07-31,BCON-006,SUP-004,LOT-192,199,186,12,Wrong Material Cert,Documentation,In-Process Inspection,QE-Patel,Rework,NCR-5414,288.77
INS-02596,2024-08-16,LARM-015,SUP-010,LOT-995,24,20,4,Connector Misalignment,Assembly,Final Assembly,QE-Osei,MRB Review,NCR-7435,292.79
INS-02597,2024-09-21,FAST-010,SUP-008,LOT-246,44,14,0,,,Receiving Inspection,QE-Patel,Accept,,0.0
INS-02598,2024-02-16,BATT-008,SUP-009,LOT-167,60,19,1,Crack / Fracture,Composite,End-of-Line Test,QE-Torres,Use-As-Is,,337.83
INS-02599,2023-07-06,WING-007,SUP-006,LOT-450,162,139,3,Electrical Short,Electrical,Final Assembly,QE-Osei,Reject,NCR-4328,1451.13
INS-02600,2023-04-11,GPS-013,SUP-004,LOT-481,160,56,6,Missing Hardware,Assembly,End-of-Line Test,QE-Patel,Use-As-Is,NCR-4753,755.73
INS-02601,2024-02-15,FRAME-012,SUP-001,LOT-584,42,37,0,,,Final Assembly,QE-Nguyen,Accept,,0.0
INS-02602,2024-11-14,PROP-003,SUP-006,LOT-735,140,115,10,Documentation Missing,Documentation,End-of-Line Test,QE-Brooks,Use-As-Is,NCR-3324,856.1
INS-02603,2024-04-04,ESC-002,SUP-004,LOT-375,68,18,1,Dimensional Out-of-Tolerance,Dimensional,In-Process Inspection,QE-Nguyen,Reject,,187.93
INS-02604,2023-05-21,FC-014,SUP-004,LOT-980,79,22,2,Solder Joint Failure,Electrical,In-Process Inspection,QE-Nguyen,Reject,NCR-6797,941.08
INS-02605,2023-01-11,BCON-006,SUP-004,LOT-755,91,34,4,Delamination,Composite,In-Process Inspection,QE-Torres,Reject,,33.64
INS-02606,2023-09-01,WHAR-005,SUP-005,LOT-243,180,57,2,Insulation Damage,Electrical,End-of-Line Test,QE-Nguyen,Use-As-Is,,108.07
INS-02607,2024-09-11,BATT-008,SUP-009,LOT-341,42,33,2,Thread Damage,Dimensional,Final Assembly,QE-Nguyen,Rework,NCR-2530,962.2
INS-02608,2024-11-22,THRM-011,SUP-005,LOT-107,92,92,19,Connector Misalignment,Assembly,Receiving Inspection,QE-Nguyen,MRB Review,NCR-3954,131.13
INS-02609,2024-07-09,GPS-013,SUP-004,LOT-303,133,96,14,Dimensional Out-of-Tolerance,Dimensional,End-of-Line Test,QE-Patel,Use-As-Is,,5440.75
INS-02610,2023-08-29,LARM-015,SUP-010,LOT-732,53,50,8,Corrosion,Cosmetic,End-of-Line Test,QE-Torres,Supplier Return,NCR-2560,632.29
INS-02611,2023-12-15,PROP-003,SUP-006,LOT-615,129,123,2,Insulation Damage,Electrical,Final Assembly,QE-Nguyen,Use-As-Is,NCR-9515,105.04
INS-02612,2024-06-23,FRAME-012,SUP-001,LOT-589,145,60,2,Electrical Short,Electrical,In-Process Inspection,QE-Patel,Use-As-Is,,1729.08
INS-02613,2023-06-26,WING-007,SUP-006,LOT-507,14,14,0,,,Final Assembly,QE-Brooks,Accept,,0.0
INS-02614,2024-11-05,PROP-003,SUP-006,LOT-752,159,138,3,Missing Hardware,Assembly,Final Assembly,QE-Nguyen,Use-As-Is,,300.31
INS-02615,2024-01-18,FRAME-012,SUP-001,LOT-272,30,25,0,,,End-of-Line Test,QE-Osei,Accept,,0.0
INS-02616,2023-06-26,PROP-003,SUP-006,LOT-407,56,36,1,Dimensional Out-of-Tolerance,Dimensional,Receiving Inspection,QE-Brooks,Reject,NCR-7647,37.62
INS-02617,2024-07-19,PROP-003,SUP-006,LOT-284,115,52,0,,,Final Assembly,QE-Torres,Accept,,0.0
INS-02618,2023-06-23,ESC-002,SUP-004,LOT-906,51,27,1,Documentation Missing,Documentation,Final Assembly,QE-Torres,Rework,NCR-3867,202.57
INS-02619,2024-12-20,FAST-010,SUP-008,LOT-508,177,150,2,Contamination,Cosmetic,In-Process Inspection,QE-Torres,Reject,,7.69
INS-02620,2023-12-17,WHAR-005,SUP-005,LOT-540,23,23,0,,,Final Assembly,QE-Patel,Accept,,0.0
INS-02621,2023-03-10,PROP-003,SUP-006,LOT-119,132,69,0,,,Receiving Inspection,QE-Patel,Accept,,0.0
INS-02622,2023-03-18,FAST-010,SUP-008,LOT-351,22,7,0,,,In-Process Inspection,QE-Nguyen,Accept,,0.0
INS-02623,2023-07-25,GPS-013,SUP-004,LOT-706,147,115,8,Missing Hardware,Assembly,In-Process Inspection,QE-Patel,Rework,NCR-8596,989.7
INS-02624,2023-01-06,WING-007,SUP-006,LOT-428,187,57,2,Contamination,Cosmetic,Receiving Inspection,QE-Brooks,Reject,NCR-8960,763.62
INS-02625,2024-02-14,WHAR-005,SUP-005,LOT-232,38,38,2,Wrong Material Cert,Documentation,End-of-Line Test,QE-Brooks,Rework,,104.26
INS-02626,2023-08-12,WHAR-005,SUP-005,LOT-277,191,181,25,Thread Damage,Dimensional,Final Assembly,QE-Patel,Rework,NCR-6334,908.71
INS-02627,2024-03-09,WHAR-005,SUP-005,LOT-310,33,22,1,Electrical Short,Electrical,End-of-Line Test,QE-Patel,Reject,NCR-4652,70.17
INS-02628,2024-02-25,GPS-013,SUP-004,LOT-389,39,9,0,,,Final Assembly,QE-Torres,Accept,,0.0
INS-02629,2023-11-03,WING-007,SUP-006,LOT-498,45,23,0,,,Receiving Inspection,QE-Nguyen,Accept,,0.0
INS-02630,2023-10-22,WHAR-005,SUP-005,LOT-570,39,38,0,,,In-Process Inspection,QE-Patel,Accept,,0.0
INS-02631,2024-04-26,BATT-008,SUP-009,LOT-870,178,143,4,Insulation Damage,Electrical,Final Assembly,QE-Torres,Use-As-Is,,2929.4
INS-02632,2024-12-10,WING-007,SUP-006,LOT-284,63,31,0,,,Final Assembly,QE-Osei,Accept,,0.0
INS-02633,2023-10-12,MMB-001,SUP-003,LOT-188,119,37,3,Crack / Fracture,Composite,Final Assembly,QE-Brooks,Use-As-Is,NCR-8231,137.58
INS-02634,2024-09-22,FAST-010,SUP-008,LOT-324,154,62,1,Missing Hardware,Assembly,Final Assembly,QE-Brooks,Reject,NCR-3763,5.37
INS-02635,2023-10-01,WHAR-005,SUP-005,LOT-272,78,23,0,,,End-of-Line Test,QE-Patel,Accept,,0.0
INS-02636,2023-12-20,WHAR-005,SUP-005,LOT-559,119,71,3,Connector Misalignment,Assembly,In-Process Inspection,QE-Osei,Reject,,187.55
INS-02637,2023-01-12,GPS-013,SUP-004,LOT-879,52,35,1,Electrical Short,Electrical,Final Assembly,QE-Patel,Reject,NCR-4692,226.26
INS-02638,2024-07-26,WING-007,SUP-006,LOT-372,155,43,2,Delamination,Composite,End-of-Line Test,QE-Torres,Rework,NCR-8108,826.51
INS-02639,2023-01-13,THRM-011,SUP-005,LOT-612,10,7,0,,,In-Process Inspection,QE-Nguyen,Accept,,0.0
INS-02640,2023-11-17,THRM-011,SUP-005,LOT-340,133,127,22,Delamination,Composite,In-Process Inspection,QE-Nguyen,Reject,NCR-7403,150.32
INS-02641,2024-08-27,GPS-013,SUP-004,LOT-179,164,43,1,Electrical Short,Electrical,Receiving Inspection,QE-Nguyen,Reject,,261.7
INS-02642,2024-03-13,THRM-011,SUP-005,LOT-635,22,14,2,Crack / Fracture,Composite,End-of-Line Test,QE-Nguyen,Reject,NCR-4639,9.88
INS-02643,2023-08-06,WHAR-005,SUP-005,LOT-963,127,37,6,Contamination,Cosmetic,End-of-Line Test,QE-Nguyen,Reject,NCR-9883,457.11
INS-02644,2024-03-01,LARM-015,SUP-010,LOT-339,75,75,9,Contamination,Cosmetic,End-of-Line Test,QE-Brooks,Rework,,746.11
INS-02645,2023-03-10,PYLD-009,SUP-001,LOT-684,104,64,4,Documentation Missing,Documentation,Receiving Inspection,QE-Torres,Reject,NCR-9479,597.93
INS-02646,2023-06-02,MMB-001,SUP-003,LOT-629,125,91,2,Documentation Missing,Documentation,In-Process Inspection,QE-Nguyen,Reject,,88.77
INS-02647,2023-02-11,BCON-006,SUP-004,LOT-870,188,163,14,Wrong Material Cert,Documentation,End-of-Line Test,QE-Brooks,Rework,NCR-4869,206.08
INS-02648,2023-12-12,MMB-001,SUP-003,LOT-351,19,11,1,Thread Damage,Dimensional,In-Process Inspection,QE-Patel,Use-As-Is,NCR-7960,143.16
INS-02649,2024-02-10,MMB-001,SUP-003,LOT-910,133,115,3,Crack / Fracture,Composite,In-Process Inspection,QE-Torres,Rework,,367.71
INS-02650,2023-05-19,PYLD-009,SUP-001,LOT-894,56,25,2,Contamination,Cosmetic,End-of-Line Test,QE-Torres,Use-As-Is,,267.71
INS-02651,2023-01-17,FAST-010,SUP-008,LOT-927,141,92,3,Insulation Damage,Electrical,End-of-Line Test,QE-Torres,Use-As-Is,NCR-6398,27.79
INS-02652,2024-04-27,WING-007,SUP-006,LOT-627,62,51,1,Contamination,Cosmetic,In-Process Inspection,QE-Osei,Use-As-Is,,176.05
INS-02653,2024-05-30,FC-014,SUP-004,LOT-752,133,84,8,Dimensional Out-of-Tolerance,Dimensional,Final Assembly,QE-Nguyen,Reject,NCR-1358,4375.37
INS-02654,2023-05-22,FAST-010,SUP-008,LOT-160,45,18,0,,,End-of-Line Test,QE-Nguyen,Accept,,0.0
INS-02655,2024-07-28,THRM-011,SUP-005,LOT-553,118,118,6,Connector Misalignment,Assembly,Receiving Inspection,QE-Torres,Reject,,39.18
INS-02656,2024-02-05,WING-007,SUP-006,LOT-792,62,26,1,Electrical Short,Electrical,Receiving Inspection,QE-Torres,Rework,,173.4
INS-02657,2023-07-16,BATT-008,SUP-009,LOT-263,158,113,7,Missing Hardware,Assembly,Receiving Inspection,QE-Brooks,Reject,,4777.48
INS-02658,2024-07-29,ESC-002,SUP-004,LOT-568,49,38,8,Thread Damage,Dimensional,Final Assembly,QE-Torres,Reject,NCR-4823,1370.21
INS-02659,2024-03-09,PYLD-009,SUP-001,LOT-812,88,55,2,Missing Hardware,Assembly,End-of-Line Test,QE-Osei,Reject,NCR-1494,136.87
INS-02660,2024-12-04,PYLD-009,SUP-001,LOT-409,180,105,7,Documentation Missing,Documentation,Receiving Inspection,QE-Osei,Reject,,1268.02
INS-02661,2023-01-20,FRAME-012,SUP-001,LOT-893,38,18,0,,,Final Assembly,QE-Osei,Accept,,0.0
INS-02662,2024-03-04,FAST-010,SUP-008,LOT-713,125,34,0,,,End-of-Line Test,QE-Patel,Accept,,0.0
INS-02663,2024-09-23,ESC-002,SUP-004,LOT-378,97,92,6,Crack / Fracture,Composite,In-Process Inspection,QE-Patel,Rework,NCR-9691,593.86
INS-02664,2024-06-08,PYLD-009,SUP-001,LOT-810,200,121,10,Wrong Material Cert,Documentation,In-Process Inspection,QE-Torres,Rework,,1549.22
INS-02665,2024-07-05,BATT-008,SUP-009,LOT-377,38,22,1,Crack / Fracture,Composite,Receiving Inspection,QE-Patel,Use-As-Is,,770.46
INS-02666,2023-04-27,THRM-011,SUP-005,LOT-694,97,91,3,Corrosion,Cosmetic,Receiving Inspection,QE-Patel,Rework,NCR-5138,23.78
INS-02667,2024-10-31,LARM-015,SUP-010,LOT-101,140,46,0,,,Final Assembly,QE-Patel,Accept,,0.0
INS-02668,2023-02-17,BATT-008,SUP-009,LOT-149,39,24,1,Dimensional Out-of-Tolerance,Dimensional,In-Process Inspection,QE-Patel,Use-As-Is,,187.22
INS-02669,2024-06-09,MMB-001,SUP-003,LOT-715,171,50,1,Insulation Damage,Electrical,Receiving Inspection,QE-Brooks,Use-As-Is,NCR-3461,132.38
INS-02670,2023-06-28,PYLD-009,SUP-001,LOT-119,176,119,5,Electrical Short,Electrical,Final Assembly,QE-Brooks,Reject,NCR-1494,682.89
INS-02671,2024-06-12,PROP-003,SUP-006,LOT-190,139,118,8,Corrosion,Cosmetic,Final Assembly,QE-Torres,Reject,NCR-8650,634.57
INS-02672,2024-07-06,WING-007,SUP-006,LOT-836,10,8,0,,,Receiving Inspection,QE-Osei,Accept,,0.0
INS-02673,2024-01-30,LARM-015,SUP-010,LOT-643,38,14,1,Connector Misalignment,Assembly,End-of-Line Test,QE-Patel,Use-As-Is,NCR-1254,104.97
INS-02674,2023-01-18,FC-014,SUP-004,LOT-531,71,56,2,Surface Finish,Cosmetic,End-of-Line Test,QE-Patel,Rework,,1054.46
INS-02675,2023-09-28,THRM-011,SUP-005,LOT-433,81,37,0,,,In-Process Inspection,QE-Osei,Accept,,0.0
INS-02676,2024-10-07,WING-007,SUP-006,LOT-996,176,91,2,Wrong Material Cert,Documentation,Final Assembly,QE-Brooks,Use-As-Is,,781.59
INS-02677,2023-01-07,LARM-015,SUP-010,LOT-773,30,12,2,Dimensional Out-of-Tolerance,Dimensional,Final Assembly,QE-Nguyen,MRB Review,NCR-3336,142.55
INS-02678,2024-02-22,MOTOR-004,SUP-007,LOT-354,162,42,5,Corrosion,Cosmetic,Receiving Inspection,QE-Torres,Rework,,673.1
INS-02679,2024-07-18,PROP-003,SUP-006,LOT-559,78,55,2,Crack / Fracture,Composite,End-of-Line Test,QE-Torres,Reject,NCR-7172,161.82
INS-02680,2023-10-28,PROP-003,SUP-006,LOT-815,72,42,1,Incorrect Part Number,Documentation,In-Process Inspection,QE-Brooks,Reject,NCR-6766,54.44
INS-02681,2024-05-28,WHAR-005,SUP-005,LOT-116,30,29,3,Insulation Damage,Electrical,End-of-Line Test,QE-Patel,Use-As-Is,,120.47
INS-02682,2024-02-14,FC-014,SUP-004,LOT-354,189,116,7,Electrical Short,Electrical,In-Process Inspection,QE-Osei,Rework,NCR-8401,4368.27
INS-02683,2023-10-11,BCON-006,SUP-004,LOT-139,192,150,20,Contamination,Cosmetic,In-Process Inspection,QE-Brooks,Rework,,230.79
INS-02684,2024-04-19,WING-007,SUP-006,LOT-695,164,140,3,Corrosion,Cosmetic,End-of-Line Test,QE-Nguyen,Use-As-Is,,477.98
INS-02685,2024-05-11,FAST-010,SUP-008,LOT-269,180,89,1,Missing Hardware,Assembly,Receiving Inspection,QE-Brooks,Use-As-Is,NCR-9592,6.37
INS-02686,2024-09-26,FAST-010,SUP-008,LOT-526,42,10,0,,,End-of-Line Test,QE-Brooks,Accept,,0.0
INS-02687,2024-04-09,ESC-002,SUP-004,LOT-704,155,112,8,Contamination,Cosmetic,In-Process Inspection,QE-Osei,Rework,,1203.75
INS-02688,2023-06-08,THRM-011,SUP-005,LOT-509,160,157,14,Thread Damage,Dimensional,In-Process Inspection,QE-Osei,Rework,NCR-8822,109.29
INS-02689,2024-04-20,PYLD-009,SUP-001,LOT-408,191,173,17,Crack / Fracture,Composite,In-Process Inspection,QE-Torres,Use-As-Is,,1743.76
INS-02690,2023-09-18,MOTOR-004,SUP-007,LOT-304,144,58,2,Dimensional Out-of-Tolerance,Dimensional,Final Assembly,QE-Osei,Reject,,131.35
INS-02691,2023-07-14,PYLD-009,SUP-001,LOT-396,163,50,1,Missing Hardware,Assembly,In-Process Inspection,QE-Nguyen,Use-As-Is,NCR-1072,172.02
INS-02692,2024-10-30,MMB-001,SUP-003,LOT-168,178,163,6,Documentation Missing,Documentation,End-of-Line Test,QE-Nguyen,Rework,,993.86
INS-02693,2024-10-29,FRAME-012,SUP-001,LOT-322,179,102,1,Electrical Short,Electrical,Receiving Inspection,QE-Nguyen,Use-As-Is,,732.62
INS-02694,2023-01-18,ESC-002,SUP-004,LOT-133,62,48,2,Connector Misalignment,Assembly,End-of-Line Test,QE-Osei,Use-As-Is,NCR-9905,345.64
INS-02695,2024-07-07,FAST-010,SUP-008,LOT-111,121,112,3,Incorrect Part Number,Documentation,End-of-Line Test,QE-Nguyen,Use-As-Is,NCR-3218,16.41
INS-02696,2024-12-27,FAST-010,SUP-008,LOT-596,176,82,2,Dimensional Out-of-Tolerance,Dimensional,In-Process Inspection,QE-Brooks,Rework,NCR-4803,5.62
INS-02697,2024-09-15,WING-007,SUP-006,LOT-672,36,28,0,,,Final Assembly,QE-Osei,Accept,,0.0
INS-02698,2023-05-09,WING-007,SUP-006,LOT-646,155,143,2,Connector Misalignment,Assembly,Receiving Inspection,QE-Patel,Reject,,520.82
INS-02699,2023-01-05,LARM-015,SUP-010,LOT-730,31,22,3,Wrong Material Cert,Documentation,Final Assembly,QE-Brooks,Rework,,98.58
INS-02700,2023-04-13,WING-007,SUP-006,LOT-106,144,91,2,Corrosion,Cosmetic,Final Assembly,QE-Nguyen,Use-As-Is,NCR-5757,923.64
INS-02701,2023-11-11,MOTOR-004,SUP-007,LOT-772,135,65,10,Surface Finish,Cosmetic,In-Process Inspection,QE-Patel,Supplier Return,NCR-4695,2307.29
INS-02702,2024-11-07,BATT-008,SUP-009,LOT-301,168,82,1,Electrical Short,Electrical,End-of-Line Test,QE-Patel,Rework,NCR-9129,473.72
INS-02703,2024-05-23,ESC-002,SUP-004,LOT-283,99,31,1,Solder Joint Failure,Electrical,End-of-Line Test,QE-Torres,Rework,,242.83
INS-02704,2024-12-12,PROP-003,SUP-006,LOT-141,95,32,1,Corrosion,Cosmetic,In-Process Inspection,QE-Patel,Reject,,41.4
INS-02705,2023-07-08,WHAR-005,SUP-005,LOT-377,85,60,5,Delamination,Composite,End-of-Line Test,QE-Brooks,Use-As-Is,,95.03
INS-02706,2023-01-27,WING-007,SUP-006,LOT-105,123,98,1,Contamination,Cosmetic,In-Process Inspection,QE-Brooks,Rework,NCR-2076,492.66
INS-02707,2023-11-26,WING-007,SUP-006,LOT-905,29,26,0,,,Receiving Inspection,QE-Brooks,Accept,,0.0
INS-02708,2023-02-04,THRM-011,SUP-005,LOT-707,186,137,20,Surface Finish,Cosmetic,End-of-Line Test,QE-Nguyen,Reject,NCR-3727,155.94
INS-02709,2023-10-02,ESC-002,SUP-004,LOT-913,100,74,2,Solder Joint Failure,Electrical,Final Assembly,QE-Nguyen,Rework,,155.22
INS-02710,2023-01-02,PYLD-009,SUP-001,LOT-955,98,68,3,Insulation Damage,Electrical,Receiving Inspection,QE-Brooks,Reject,,155.45
INS-02711,2023-10-05,WHAR-005,SUP-005,LOT-148,193,148,29,Wrong Material Cert,Documentation,Final Assembly,QE-Brooks,Reject,NCR-2916,2582.7
INS-02712,2024-04-29,FC-014,SUP-004,LOT-111,10,2,0,,,Final Assembly,QE-Osei,Accept,,0.0
INS-02713,2023-01-13,MOTOR-004,SUP-007,LOT-118,193,127,43,Incorrect Part Number,Documentation,Final Assembly,QE-Patel,Reject,NCR-9840,4299.8
INS-02714,2024-12-29,FAST-010,SUP-008,LOT-503,149,56,1,Missing Hardware,Assembly,Receiving Inspection,QE-Patel,Reject,NCR-4424,8.39
INS-02715,2023-02-10,GPS-013,SUP-004,LOT-810,71,49,8,Incorrect Part Number,Documentation,End-of-Line Test,QE-Torres,MRB Review,NCR-5566,2529.63
INS-02716,2024-03-31,THRM-011,SUP-005,LOT-491,146,105,10,Dimensional Out-of-Tolerance,Dimensional,In-Process Inspection,QE-Nguyen,Use-As-Is,NCR-6536,23.84
INS-02717,2024-03-23,FRAME-012,SUP-001,LOT-156,191,99,7,Electrical Short,Electrical,In-Process Inspection,QE-Patel,Reject,NCR-7840,2407.55
INS-02718,2024-04-24,FAST-010,SUP-008,LOT-880,86,54,1,Electrical Short,Electrical,Receiving Inspection,QE-Brooks,Reject,,11.5
INS-02719,2023-02-13,BATT-008,SUP-009,LOT-795,139,126,5,Corrosion,Cosmetic,End-of-Line Test,QE-Torres,Rework,,931.28
INS-02720,2024-12-17,FAST-010,SUP-008,LOT-248,167,52,1,Insulation Damage,Electrical,Final Assembly,QE-Brooks,Rework,NCR-4271,9.31
INS-02721,2023-04-13,WING-007,SUP-006,LOT-919,34,18,1,Insulation Damage,Electrical,Final Assembly,QE-Brooks,Reject,NCR-1770,249.02
INS-02722,2023-07-10,MOTOR-004,SUP-007,LOT-788,178,74,11,Surface Finish,Cosmetic,End-of-Line Test,QE-Patel,Rework,NCR-8451,2191.83
INS-02723,2023-01-19,PROP-003,SUP-006,LOT-794,90,50,0,,,End-of-Line Test,QE-Torres,Accept,,0.0
INS-02724,2024-05-03,BATT-008,SUP-009,LOT-908,79,42,2,Thread Damage,Dimensional,Final Assembly,QE-Torres,Use-As-Is,,1213.73
INS-02725,2024-06-28,FC-014,SUP-004,LOT-499,183,80,5,Documentation Missing,Documentation,In-Process Inspection,QE-Torres,Rework,,783.81
INS-02726,2024-09-24,FC-014,SUP-004,LOT-517,156,82,5,Thread Damage,Dimensional,In-Process Inspection,QE-Patel,Reject,NCR-8961,2634.77
INS-02727,2024-02-22,FC-014,SUP-004,LOT-493,56,29,1,Incorrect Part Number,Documentation,End-of-Line Test,QE-Torres,Rework,NCR-1222,193.93
INS-02728,2024-07-01,FRAME-012,SUP-001,LOT-482,87,23,0,,,In-Process Inspection,QE-Brooks,Accept,,0.0
INS-02729,2024-07-22,FC-014,SUP-004,LOT-497,124,31,0,,,In-Process Inspection,QE-Osei,Accept,,0.0
INS-02730,2023-02-19,WING-007,SUP-006,LOT-108,94,29,2,Contamination,Cosmetic,In-Process Inspection,QE-Nguyen,Rework,NCR-4910,574.54
INS-02731,2023-05-13,MMB-001,SUP-003,LOT-108,197,184,10,Documentation Missing,Documentation,Receiving Inspection,QE-Osei,Reject,,877.17
INS-02732,2024-08-24,PYLD-009,SUP-001,LOT-700,40,10,0,,,In-Process Inspection,QE-Torres,Accept,,0.0
INS-02733,2023-05-02,FAST-010,SUP-008,LOT-754,52,16,0,,,In-Process Inspection,QE-Torres,Accept,,0.0
INS-02734,2024-01-09,PROP-003,SUP-006,LOT-447,44,12,0,,,Final Assembly,QE-Patel,Accept,,0.0
INS-02735,2023-07-24,FRAME-012,SUP-001,LOT-214,127,127,10,Incorrect Part Number,Documentation,End-of-Line Test,QE-Osei,Reject,,4331.39
INS-02736,2023-07-11,THRM-011,SUP-005,LOT-934,110,32,1,Dimensional Out-of-Tolerance,Dimensional,End-of-Line Test,QE-Brooks,Rework,NCR-8593,4.19
INS-02737,2023-10-30,LARM-015,SUP-010,LOT-426,179,126,14,Delamination,Composite,Final Assembly,QE-Nguyen,Reject,,704.45
INS-02738,2024-07-24,FRAME-012,SUP-001,LOT-116,164,77,6,Thread Damage,Dimensional,Final Assembly,QE-Osei,Use-As-Is,NCR-2483,2021.52
INS-02739,2024-07-15,ESC-002,SUP-004,LOT-507,162,89,6,Incorrect Part Number,Documentation,Final Assembly,QE-Brooks,Reject,NCR-5636,1457.41
INS-02740,2023-06-21,PROP-003,SUP-006,LOT-816,162,141,5,Wrong Material Cert,Documentation,Final Assembly,QE-Brooks,Rework,NCR-9110,136.05
INS-02741,2023-01-13,WING-007,SUP-006,LOT-533,70,68,2,Contamination,Cosmetic,Receiving Inspection,QE-Torres,Use-As-Is,,470.06
INS-02742,2023-01-11,BATT-008,SUP-009,LOT-234,85,78,1,Electrical Short,Electrical,In-Process Inspection,QE-Patel,Use-As-Is,,419.91
INS-02743,2023-03-06,BCON-006,SUP-004,LOT-169,103,89,1,Incorrect Part Number,Documentation,Receiving Inspection,QE-Brooks,Rework,NCR-4261,22.34
INS-02744,2024-11-26,MOTOR-004,SUP-007,LOT-455,195,71,12,Contamination,Cosmetic,End-of-Line Test,QE-Osei,Reject,NCR-6177,1535.0
INS-02745,2024-08-08,BATT-008,SUP-009,LOT-434,25,17,1,Missing Hardware,Assembly,In-Process Inspection,QE-Nguyen,Use-As-Is,NCR-4427,316.99
INS-02746,2024-08-03,BATT-008,SUP-009,LOT-199,77,22,1,Thread Damage,Dimensional,End-of-Line Test,QE-Nguyen,Use-As-Is,,393.83
INS-02747,2024-04-23,FRAME-012,SUP-001,LOT-876,159,45,1,Incorrect Part Number,Documentation,End-of-Line Test,QE-Osei,Rework,,886.81
INS-02748,2024-08-12,THRM-011,SUP-005,LOT-438,146,86,11,Contamination,Cosmetic,Final Assembly,QE-Brooks,Reject,,35.79
INS-02749,2023-05-07,LARM-015,SUP-010,LOT-786,151,67,21,Solder Joint Failure,Electrical,Final Assembly,QE-Osei,MRB Review,NCR-9108,1402.79
INS-02750,2024-02-10,BATT-008,SUP-009,LOT-863,150,37,2,Incorrect Part Number,Documentation,End-of-Line Test,QE-Brooks,Rework,,1562.33
INS-02751,2024-04-30,FC-014,SUP-004,LOT-202,197,71,2,Insulation Damage,Electrical,Final Assembly,QE-Osei,Rework,,1055.71
INS-02752,2023-06-17,PROP-003,SUP-006,LOT-247,16,13,1,Incorrect Part Number,Documentation,End-of-Line Test,QE-Osei,Use-As-Is,NCR-4107,99.03
INS-02753,2024-05-05,FRAME-012,SUP-001,LOT-365,64,59,1,Missing Hardware,Assembly,In-Process Inspection,QE-Torres,Reject,,589.39
INS-02754,2024-07-28,PROP-003,SUP-006,LOT-881,44,31,0,,,In-Process Inspection,QE-Patel,Accept,,0.0
INS-02755,2024-02-09,FC-014,SUP-004,LOT-736,127,79,2,Corrosion,Cosmetic,In-Process Inspection,QE-Patel,Use-As-Is,NCR-8756,1168.45
INS-02756,2024-07-01,MOTOR-004,SUP-007,LOT-196,96,42,9,Dimensional Out-of-Tolerance,Dimensional,In-Process Inspection,QE-Nguyen,Reject,NCR-3987,464.59
INS-02757,2023-01-01,FRAME-012,SUP-001,LOT-385,26,19,1,Corrosion,Cosmetic,In-Process Inspection,QE-Nguyen,Rework,,382.67
INS-02758,2023-08-06,PROP-003,SUP-006,LOT-722,86,84,3,Wrong Material Cert,Documentation,Receiving Inspection,QE-Torres,Reject,,107.82
INS-02759,2024-11-19,GPS-013,SUP-004,LOT-229,133,75,2,Electrical Short,Electrical,Final Assembly,QE-Brooks,Rework,NCR-5402,676.83
INS-02760,2024-03-29,MMB-001,SUP-003,LOT-130,92,78,10,Corrosion,Cosmetic,Receiving Inspection,QE-Torres,Rework,,800.93
INS-02761,2024-02-07,FRAME-012,SUP-001,LOT-740,82,35,1,Solder Joint Failure,Electrical,In-Process Inspection,QE-Patel,Rework,,614.25
INS-02762,2023-05-12,LARM-015,SUP-010,LOT-843,136,91,8,Crack / Fracture,Composite,End-of-Line Test,QE-Osei,Rework,NCR-2235,690.73
INS-02763,2023-02-04,FRAME-012,SUP-001,LOT-553,111,78,5,Documentation Missing,Documentation,Final Assembly,QE-Torres,Reject,,5289.81
INS-02764,2024-07-25,MOTOR-004,SUP-007,LOT-615,102,31,3,Solder Joint Failure,Electrical,End-of-Line Test,QE-Nguyen,Rework,NCR-6131,239.1
INS-02765,2024-10-07,PROP-003,SUP-006,LOT-845,83,30,2,Thread Damage,Dimensional,Receiving Inspection,QE-Torres,Reject,,172.45
INS-02766,2024-05-22,PROP-003,SUP-006,LOT-584,79,20,0,,,End-of-Line Test,QE-Nguyen,Accept,,0.0
